App,Category,Rating,Reviews,Installs,Price
BusyBox Pro,TOOLS,4,8114,100000,2.49
Dinosaur War,FAMILY,4,157997,10000000,0.0
dB Sound Level Meter,TOOLS,3,203,10000,0.0
Dog Run - Pet Dog Simulator,GAME,4,48615,10000000,0.0
PK and DK Audio App,FAMILY,5,2,100,0.0
Replika,FAMILY,4,45458,1000000,0.0
Offroad Cruiser,FAMILY,4,42432,1000000,0.0
Analog and Digital Clock AW-7,TOOLS,4,202,50000,0.0
Teen Patti by BL Games,GAME,4,496,100000,0.0
Az Video Status,FAMILY,4,13,100,0.0
Permit Test CO Colorado DMV,FAMILY,4,41,1000,0.0
DH Pineapple Poker OFC,GAME,4,1878,100000,0.0
High Blood Pressure Symptoms,MEDICAL,4,531,100000,0.0
"CM Security Open VPN - Free, fast unlimited proxy",TOOLS,4,85496,1000000,0.0
Strange Hero: Future Battle,GAME,4,88901,10000000,0.0
CB Frequencies FREE!,TOOLS,3,364,100000,0.0
Super Slime Blitz - Gumball,FAMILY,4,5395,500000,0.0
POLARIS 2MFG,FAMILY,4,1228,10000,0.0
Car Driving Simulator Drift,GAME,4,19816,1000000,0.0
Battlelands Royale,GAME,4,105620,1000000,0.0
Ramdor DM Mobile,BUSINESS,2,1,100,0.0
Modern Counter Terror Attack ??Shooting Game,GAME,4,340,50000,0.0
Shoulder Surgery ER Emergency Doctor Game,FAMILY,3,55,10000,0.0
slither.io,GAME,4,5231553,100000000,0.0
SimCity BuildIt,FAMILY,4,4218587,50000000,0.0
Helix Jump,GAME,4,1500999,100000000,0.0
BT Share It,BUSINESS,4,12,500,0.0
Bubble Shooter 2,GAME,4,23005,5000000,0.0
"CR Fans: Mazos, Clanes y Grupos",FAMILY,4,219,5000,0.0
Asha Ek Hope - ALS/ MND,MEDICAL,5,2,100,0.0
Dr. Panda Art Class,FAMILY,4,1013,50000,2.99
Counter Terrorist Attack,GAME,3,145931,10000000,0.0
Replika,FAMILY,4,45458,1000000,0.0
Seen,FAMILY,4,118285,1000000,0.0
"CR Fans: Mazos, Clanes y Grupos",FAMILY,4,219,5000,0.0
Oracle BI Mobile,BUSINESS,4,282,10000,0.0
Cooking Fever,GAME,4,3197865,100000000,0.0
Swamp Attack,GAME,4,2119235,50000000,0.0
500 AP World History Questions,FAMILY,4,7,100,9.99
SimCity BuildIt,FAMILY,4,4218587,50000000,0.0
"CM Flashlight (Compass, SOS)",TOOLS,4,166363,5000000,0.0
Blood Pressure Companion,MEDICAL,4,178,1000,0.99
Hotspot Shield Free VPN Proxy & Wi-Fi Security,TOOLS,4,1116393,50000000,0.0
